step 39000, train_loss 2.1647e+01, test_loss nan
step 39200, train_loss 1.3441e+01, test_loss nan
step 39400, train_loss 3.2581e+01, test_loss nan
step 39600, train_loss 3.9977e+00, test_loss nan
step 39800, train_loss 8.7764e+00, test_loss nan
step 40000, train_loss 5.5351e+00, test_loss nan
step 40200, train_loss 2.4106e+00, test_loss nan
step 40400, train_loss 3.1960e+00, test_loss nan
step 40600, train_loss 2.4295e+00, test_loss nan
step 40800, train_loss 1.7964e+00, test_loss nan
step 41000, train_loss 1.5770e+00, test_loss nan
step 41200, train_loss 8.0784e+00, test_loss nan
step 41400, train_loss 1.2437e+00, test_loss nan
step 41600, train_loss 7.7373e+00, test_loss nan
step 41800, train_loss 6.0088e+00, test_loss nan
step 42000, train_loss 1.9720e+00, test_loss nan
step 42200, train_loss 6.3464e+00, test_loss nan
step 42400, train_loss 5.3564e+00, test_loss nan
step 42600, train_loss 3.1851e+00, test_loss nan
step 42800, train_loss 6.3041e+00, test_loss nan
step 43000, train_loss 1.6730e+01, test_loss nan
step 43200, train_loss 1.3204e+00, test_loss nan
step 43400, train_loss 2.0830e+00, test_loss nan
step 43600, train_loss 8.0107e+00, test_loss nan
step 43800, train_loss 1.0011e+01, test_loss nan
step 44000, train_loss 1.2876e+00, test_loss nan
step 44200, train_loss 4.2951e+00, test_loss nan
step 44400, train_loss 6.1491e+00, test_loss nan
step 44600, train_loss 8.0063e+00, test_loss nan
step 44800, train_loss 1.7592e+00, test_loss nan
step 45000, train_loss 4.7137e+00, test_loss nan
step 45200, train_loss 4.4315e+00, test_loss nan
step 45400, train_loss 4.4574e+00, test_loss nan
step 45600, train_loss 1.7872e+00, test_loss nan
step 45800, train_loss 1.8620e+00, test_loss nan
step 46000, train_loss 5.4862e+00, test_loss nan
step 46200, train_loss 3.6117e+00, test_loss nan
step 46400, train_loss 5.2482e-01, test_loss nan
step 46600, train_loss 1.1936e+00, test_loss nan
step 46800, train_loss 2.7751e+00, test_loss nan
step 47000, train_loss 7.2757e+00, test_loss nan
step 47200, train_loss 8.8507e-01, test_loss nan
step 47400, train_loss 2.9979e+00, test_loss nan
step 47600, train_loss 5.6785e+01, test_loss nan
step 47800, train_loss 1.9836e+00, test_loss nan
step 48000, train_loss 2.7602e+00, test_loss nan
step 48200, train_loss 5.9282e-01, test_loss nan
step 48400, train_loss 8.7413e-01, test_loss nan
step 48600, train_loss 3.3800e+00, test_loss nan
step 48800, train_loss 3.6979e+00, test_loss nan
step 49000, train_loss 2.8103e+00, test_loss nan
step 49200, train_loss 5.4555e+00, test_loss nan
step 49400, train_loss 7.9179e+00, test_loss nan
step 49600, train_loss 9.8111e+00, test_loss nan
step 49800, train_loss 4.0993e-01, test_loss nan
step 50000, train_loss 2.4575e+00, test_loss nan
step 50200, train_loss 6.9270e+00, test_loss nan
step 50400, train_loss 8.4462e+00, test_loss nan
step 50600, train_loss 1.5870e+00, test_loss nan
step 50800, train_loss 6.6343e+00, test_loss nan
step 51000, train_loss 4.3144e+00, test_loss nan
step 51200, train_loss 3.1364e+00, test_loss nan
step 51400, train_loss 4.0847e+00, test_loss nan
step 51600, train_loss 6.3050e+01, test_loss nan
step 51800, train_loss 1.7310e+01, test_loss nan
step 52000, train_loss 8.5483e+00, test_loss nan
step 52200, train_loss 7.4986e+00, test_loss nan
step 52400, train_loss 6.3903e+00, test_loss nan
step 52600, train_loss 1.4690e+01, test_loss nan
step 52800, train_loss 5.2962e+00, test_loss nan
step 53000, train_loss 3.7564e+00, test_loss nan
step 53200, train_loss 4.2059e+00, test_loss nan
step 53400, train_loss 4.8915e+00, test_loss nan
step 53600, train_loss 9.6889e+00, test_loss nan
step 53800, train_loss 6.5972e+01, test_loss nan
step 54000, train_loss 2.9152e+00, test_loss nan
step 54200, train_loss 9.0635e+00, test_loss nan
step 54400, train_loss 6.4908e+00, test_loss nan
step 54600, train_loss 1.1169e+00, test_loss nan
step 54800, train_loss 8.6707e+00, test_loss nan
step 55000, train_loss 2.8378e+00, test_loss nan
step 55200, train_loss 1.5910e+00, test_loss nan
step 55400, train_loss 1.1119e+00, test_loss nan
step 55600, train_loss 8.1401e+00, test_loss nan
step 55800, train_loss 9.7227e-01, test_loss nan
step 56000, train_loss 1.4991e+00, test_loss nan
step 56200, train_loss 1.7202e+01, test_loss nan
step 56400, train_loss 3.2411e+00, test_loss nan
step 56600, train_loss 3.9655e+00, test_loss nan
step 56800, train_loss 2.1229e+00, test_loss nan
step 57000, train_loss 1.7612e+00, test_loss nan
step 57200, train_loss 9.1631e+00, test_loss nan
step 57400, train_loss 2.8566e+01, test_loss nan
step 57600, train_loss 6.0844e+00, test_loss nan
step 57800, train_loss 1.3260e+00, test_loss nan
step 58000, train_loss 2.1638e+00, test_loss nan
step 58200, train_loss 2.3914e+00, test_loss nan
step 58400, train_loss 2.9394e+00, test_loss nan
step 58600, train_loss 1.7747e+00, test_loss nan
step 58800, train_loss 4.1607e+00, test_loss nan
step 59000, train_loss 1.0411e+01, test_loss nan
step 59200, train_loss 1.9774e+01, test_loss nan
step 59400, train_loss 7.4453e-01, test_loss nan
step 59600, train_loss 6.4462e+00, test_loss nan
step 59800, train_loss 6.5710e+00, test_loss nan
step 60000, train_loss 2.6936e+00, test_loss nan
step 60200, train_loss 3.0805e+00, test_loss nan
step 60400, train_loss 6.5388e+00, test_loss nan
step 60600, train_loss 5.5336e+00, test_loss nan
step 60800, train_loss 1.0059e+01, test_loss nan
step 61000, train_loss 2.6619e+01, test_loss nan
step 61200, train_loss 9.3834e+00, test_loss nan
step 61400, train_loss 9.7583e-01, test_loss nan
step 61600, train_loss 8.6001e-01, test_loss nan
step 61800, train_loss 5.4431e+00, test_loss nan
step 62000, train_loss 1.5824e+01, test_loss nan
step 62200, train_loss 7.4475e-01, test_loss nan
step 62400, train_loss 1.8408e+00, test_loss nan
step 62600, train_loss 2.9718e+01, test_loss nan
step 62800, train_loss 6.0784e+00, test_loss nan
step 63000, train_loss 3.2037e+00, test_loss nan
step 63200, train_loss 6.6831e+00, test_loss nan
step 63400, train_loss 4.1775e+00, test_loss nan
step 63600, train_loss 1.6175e+01, test_loss nan
step 63800, train_loss 6.2241e+00, test_loss nan
step 64000, train_loss 1.3525e+01, test_loss nan
step 64200, train_loss 6.7767e+00, test_loss nan
step 64400, train_loss 6.8173e+00, test_loss nan
step 64600, train_loss 4.1506e+00, test_loss nan
step 64800, train_loss 8.2578e+00, test_loss nan
step 65000, train_loss 1.4180e+01, test_loss nan
step 65200, train_loss 3.9589e+01, test_loss nan
step 65400, train_loss 3.1641e+00, test_loss nan
step 65600, train_loss 2.1712e+00, test_loss nan
step 65800, train_loss 2.1761e+00, test_loss nan
step 66000, train_loss 2.1059e+00, test_loss nan
step 66200, train_loss 1.1893e+01, test_loss nan
step 66400, train_loss 5.4728e+00, test_loss nan
step 66600, train_loss 7.2381e-01, test_loss nan
step 66800, train_loss 2.4732e+01, test_loss nan
step 67000, train_loss 3.6073e+00, test_loss nan
step 67200, train_loss 1.1899e+01, test_loss nan
step 67400, train_loss 5.2308e-01, test_loss nan
step 67600, train_loss 5.8072e-01, test_loss nan
step 67800, train_loss 1.4843e+01, test_loss nan
step 68000, train_loss 5.4467e-01, test_loss nan
step 68200, train_loss 3.2251e-01, test_loss nan
step 68400, train_loss 6.6297e+00, test_loss nan
step 68600, train_loss 1.4296e+01, test_loss nan
step 68800, train_loss 3.6116e+00, test_loss nan
step 69000, train_loss 2.3488e+00, test_loss nan
step 69200, train_loss 1.6306e+01, test_loss nan
step 69400, train_loss 2.2869e+00, test_loss nan
step 69600, train_loss 2.8131e+00, test_loss nan
step 69800, train_loss 9.9869e+00, test_loss nan
step 70000, train_loss 1.0872e+00, test_loss nan
step 70200, train_loss 3.9054e+00, test_loss nan
step 70400, train_loss 5.5810e+00, test_loss nan
step 70600, train_loss 1.2405e+01, test_loss nan
step 70800, train_loss 1.5498e+00, test_loss nan
step 71000, train_loss 5.0483e-01, test_loss nan
step 71200, train_loss 7.2296e-01, test_loss nan
step 71400, train_loss 1.9215e+00, test_loss nan
step 71600, train_loss 7.4473e+00, test_loss nan
step 71800, train_loss 9.4423e+00, test_loss nan
step 72000, train_loss 7.2685e+00, test_loss nan
step 72200, train_loss 2.6126e+00, test_loss nan
